hero	hero	SHIP	Overhead street tacos, cropped to a wide band from the square original
quesabirria	card	SHIP	Three crispy quesabirria tacos with consomme, salsa and lime — TOP 6% CROPPED to remove a fly
birria-ramen-torta	card	SHIP	Birria ramen in a cup with a fried quesabirria taco on top, beside the torta
burrito	card	SHIP	Burrito cut in half, rice, beans, meat, cheese and onion, with red and green salsa
birria-quesadilla	card+gallery	SHIP	Birria quesadilla cut in half, served with consomme, lettuce and tomato
quesadilla-fresh	about	SHIP	Quesadilla cut into wedges, gloved hand, cheese pulling — native 720px, never upscaled
asada-tacos	gallery	SHIP	Carne asada street tacos with cilantro, onion, lime and salsa cups
sopes	gallery	SHIP	Two sopes with seasoned meat, lettuce, crema, tomato and cotija
vampiro	gallery	SHIP	Crispy griddled taco loaded with steak, lettuce, crema and hot sauce
quesadilla-flour	gallery	SHIP	Flour quesadilla wedges with shredded beef and cheese, on blue-check paper
flautas	gallery	SHIP	Two rolled flautas with salsa, crema and cotija, on black-check paper
truck	venue	SHIP	The blue Tacos El Giro truck, order window open, customers waiting
street-tacos	source	SOURCE-ONLY	Square overhead the hero is cropped from; not referenced directly
promo-ramen	evidence	DO-NOT-SHIP	Marketing graphic, baked-in text: "Rainy Day? Birria Ramen"
promo-nortenos	evidence	DO-NOT-SHIP	Marketing graphic: Tacos Nortenos; source of the logo and "both locations"
promo-quesabirrias	evidence	DO-NOT-SHIP	Marketing graphic: large/regular quesabirria, "birria 100% de res"
